Year,RecreationVisitors,TotalRecreationVisitors
1919,"64,000","163,512,192"
1920,"66,500","163,512,192"
1921,"69,836","163,512,192"
1922,"73,779","163,512,192"
1923,"64,200","163,512,192"
1924,"71,758","163,512,192"
1925,"73,673","163,512,192"
1926,"101,256","163,512,192"
1927,"123,699","163,512,192"
1928,"134,897","163,512,192"
1929,"149,554","163,512,192"
1930,"154,734","163,512,192"
1931,"162,238","163,512,192"
1932,"237,596","163,512,192"
1933,"262,712","163,512,192"
1934,"275,956","163,512,192"
1935,"316,114","163,512,192"
1936,"340,393","163,512,192"
1937,"383,036","163,512,192"
1938,"394,319","163,512,192"
1939,"396,468","163,512,192"
1940,"382,084","163,512,192"
1941,"409,961","163,512,192"
1942,"36,544","163,512,192"
1943,"8,246","163,512,192"
1944,"12,916","163,512,192"
1945,"20,200","163,512,192"
1946,"382,390","163,512,192"
1947,"434,069","163,512,192"
1948,"420,846","163,512,192"
1949,"438,584","163,512,192"
1950,"485,220","163,512,192"
1951,"518,556","163,512,192"
1952,"549,075","163,512,192"
1953,"556,195","163,512,192"
1954,"553,800","163,512,192"
1955,"655,000","163,512,192"
1956,"735,500","163,512,192"
1957,"858,900","163,512,192"
1958,"816,500","163,512,192"
1959,"755,900","163,512,192"
1960,"1,638,200","163,512,192"
1961,"1,574,600","163,512,192"
1962,"1,601,500","163,512,192"
1963,"1,864,800","163,512,192"
1964,"2,011,600","163,512,192"
1965,"1,733,600","163,512,192"
1966,"2,158,400","163,512,192"
1967,"2,102,000","163,512,192"
1968,"2,303,300","163,512,192"
1969,"2,489,800","163,512,192"
1970,"2,776,300","163,512,192"
1971,"2,101,100","163,512,192"
1972,"2,285,881","163,512,192"
1973,"2,394,000","163,512,192"
1974,"2,335,800","163,512,192"
1975,"2,380,500","163,512,192"
1976,"2,353,300","163,512,192"
1977,"2,734,600","163,512,192"
1978,"2,684,933","163,512,192"
1979,"2,787,366","163,512,192"
1980,"2,779,666","163,512,192"
1981,"2,997,972","163,512,192"
1982,"3,572,114","163,512,192"
1983,"4,124,639","163,512,192"
1984,"3,734,763","163,512,192"
1985,"3,745,570","163,512,192"
1986,"3,929,054","163,512,192"
1987,"4,288,154","163,512,192"
1988,"4,502,283","163,512,192"
1989,"5,440,952","163,512,192"
1990,"2,339,591","163,512,192"
1991,"2,475,857","163,512,192"
1992,"2,382,113","163,512,192"
1993,"2,656,034","163,512,192"
1994,"2,710,749","163,512,192"
1995,"2,845,378","163,512,192"
1996,"2,704,831","163,512,192"
1997,"2,760,306","163,512,192"
1998,"2,594,497","163,512,192"
1999,"2,602,227","163,512,192"
2000,"2,469,238","163,512,192"
2001,"2,516,551","163,512,192"
2002,"2,558,572","163,512,192"
2003,"2,431,062","163,512,192"
2004,"2,207,847","163,512,192"
2005,"2,051,484","163,512,192"
2006,"2,083,588","163,512,192"
2007,"2,202,228","163,512,192"
2008,"2,075,857","163,512,192"
2009,"2,227,698","163,512,192"
2010,"2,504,208","163,512,192"
2011,"2,374,645","163,512,192"
2012,"2,431,052","163,512,192"
2013,"2,254,922","163,512,192"
2014,"2,563,129","163,512,192"
2015,"2,811,184","163,512,192"
2016,"3,303,393","163,512,192"

